X,Y,Z
-3387.357234959633,-312.8237313997422,0.0
-3387.3623036641143,-312.81511427070046,0.0
-3387.3680447926204,-312.8069297657356,0.0
-3387.374421621521,-312.79923023774904,0.0
-3387.3813933608726,-312.7920649374444,0.0
-3387.3889154153353,-312.7854796982913,0.0
-3387.39693966943,-312.7795166433474,0.0
-3387.4054147953148,-312.7742139158149,0.0
-3387.4142865811054,-312.7696054350539,0.0
-3387.4234982776497,-312.76572067961433,0.0
-3387.4329909615244,-312.7625844986738,0.0
-3387.4427039119487,-312.7602169530878,0.0
-3387.452574999186,-312.75863318706865,0.0
-3387.462541081963,-312.75784333131406,0.0
-3387.3102191382063,-312.93406287922085,0.0
-3387.313643514898,-312.92466751610834,0.0
-3387.317159566456,-312.9153060747031,0.0
-3387.3207669569206,-312.9059794494946,0.0
-3387.324465341604,-312.8966885316456,0.0
-3387.328254367124,-312.8874342089069,0.0
-3387.3321336714375,-312.8782173655327,0.0
-3387.3361028838763,-312.86903888219604,0.0
-3387.3401616251795,-312.8598996359046,0.0
-3387.344309507533,-312.850800499917,0.0
-3387.348546134606,-312.84174234365923,0.0
-3387.290673759706,-312.9973409970231,0.0
-3387.2933259668002,-312.9876991730915,0.0
-3387.296085139352,-312.97808741268943,0.0
-3387.2989509367267,-312.96850690244185,0.0
-3387.3019230051254,-312.9589588251155,0.0
-3387.3050009776307,-312.9494443594733,0.0
-3387.290673759706,-312.9973409970231,0.0
-3387.2933259668002,-312.9876991730915,0.0
-3387.296085139352,-312.97808741268943,0.0
-3387.2989509367267,-312.96850690244185,0.0
-3387.3019230051254,-312.9589588251155,0.0
-3387.3050009776307,-312.9494443594733,0.0
-3387.285837525122,-313.0160504557386,0.0
-3387.2834734827807,-313.02576703626664,0.0
-3387.2812642839285,-313.03551973884225,0.0
-3387.279259271013,-313.04531663740664,0.0
-3387.277350076379,-313.05513270546413,0.0
-3387.275491216354,-313.0649585446064,0.0
-3387.2736651512214,-313.07479068617073,0.0
-3387.271862987278,-313.0846274449785,0.0
-3387.2700888870418,-313.09446922084334,0.0
-3387.2683718056905,-313.10432055276357,0.0
-3387.266618050592,-313.11416547111895,0.0
-3387.264676500223,-313.12397455553713,0.0
-3387.2624668623903,-313.13372642370297,0.0
-3387.258985261575,-313.1474421015736,0.0
-3387.256387274984,-313.15709867577687,0.0
-3387.253681558119,-313.1667256200436,0.0
-3387.2508684487575,-313.17632173255816,0.0
-3387.2479482980852,-313.18588581535386,0.0
-3387.2449214706503,-313.19541667446254,0.0
-3387.2417883443177,-313.2049131200637,0.0
-3387.2385493102233,-313.2143739666328,0.0
-3387.2352047727236,-313.2237980330898,0.0
-3387.231755149347,-313.23318414294584,0.0
-3387.224657350765,-313.24965141123084,0.0
-3387.2200453342157,-313.25852362309763,0.0
-3387.215061542252,-313.2671921831662,0.0
-3387.2096564503195,-313.2756040849894,0.0
-3387.203771241116,-313.2836868911898,0.0
-3387.1973373829937,-313.29133906584883,0.0
-3387.1902777631476,-313.2984162642877,0.0
-3387.1825143508054,-313.30471010559216,0.0
-3387.173990147757,-313.3099207919613,0.0
-3387.1647209476528,-313.3136335365653,0.0
-3386.974206984951,-313.3176471742198,0.0
-3386.9842058078584,-313.31749374789257,0.0
-3386.9942046784818,-313.31734346336225,0.0
-3387.0042035958327,-313.3171963206437,0.0
-3387.0142025589253,-313.3170523197514,0.0
-3387.024201566771,-313.31691146069966,0.0
-3387.0342006183837,-313.3167737435023,0.0
-3387.0441997127755,-313.31663916817297,0.0
-3387.0541988489595,-313.31650773472495,0.0
-3387.0641980259484,-313.3163794431712,0.0
-3387.074197242755,-313.31625429352437,0.0
-3387.084196498392,-313.3161322857968,0.0
-3387.0941957918717,-313.3160134200007,0.0
-3387.104195122208,-313.31589769614754,0.0
-3387.114194488412,-313.31578511424897,0.0
-3387.124193889498,-313.315675674316,0.0
-3387.1341933244785,-313.31556937635946,0.0
-3387.144192792365,-313.31546622038985,0.0
-3387.3528675476246,-312.83249751703147,0.0
-3387.3081175101197,-312.9397361827928,0.0
-3387.2614716395956,-313.1375285873371,0.0
-3387.228935670737,-313.24038654577004,0.0
-3387.288293771194,-313.00612920767804,0.0
-3387.3081175101197,-312.9397361827928,0.0
-3387.1522768066325,-313.31515657078035,0.0
-3386.5727727432904,-312.83593165387344,0.0
